number,english,irish
3613,woodlawn avenue,ascaill phlásóg na coille
3614,woodlawn close,clós phlásóg na coille
3615,woodlawn court,cúirt phlásóg na coille
3616,woodlawn crescent,corrán phlásóg na coille
3617,woodlawn drive,céide phlásóg na coille
3618,woodlawn green,faiche phlásóg na coille
3619,woodlawn grove,garrán phlásóg na coille
3620,woodlawn park,páirc phlásóg na coille
3621,woodlawn rise,ard phlásóg na coille
3622,woodlawn view,radharc phlásóg na coille
3623,woodlawn walk,siúlán phlásóg na coille
3624,woodlawn way,bealach phlásóg na coille
3625,"woods, the",na coillte
3626,woodstock court,cúirt bhodastoig
3627,woodstock gardens,gairdíní bhodastoig
3628,woodview close,clós radharc na coille
3629,woodview park,páirc radharc na coille
3630,woodville court,cúirt bhaile na coille
3631,woodville road,bóthar bhaile na coille
3632,wynnefield road,bóthar wynnefield
3633,wyteleaf grove,garrán wyteleaf
3634,xavier avenue,ascaill xavier
3635,yarnhall street,sráid halla an abhrais
3636,yellow road,an bóthar buí
3637,yewland terrace,ardán fhearann an iúir
3638,york avenue,ascaill eabhrac
3639,york road,bóthar eabhrac
3640,york street,sráid eabhrac
3641,zion road,bóthar shióin
3642,zoo road,bóthar ghairdín na nainmhithe
,ard na meala,ard na meala
,ashbrook,sruthán na
,ashcroft,croit na
,ashgrove lodge,lóiste gharrán na
,ashington dale,gleanntán ashington
,aulden grange,gráinseach aulden
,balnagowan|newtownsmith,baile na ngabhann
,bannaville,bannaville
,beechlawn,plásóg na feá
,belclare lawns,plásóga bhéal chláir
,belleville,belleville
,bellevue,bellevue
,berystede,berystede
,bettyglen,bettyglen
,blackpitts,na cuithí dubha
,bridgeview halting site,stad radharc an droichid
,broadstone,an chloch leathan
,brookville,baile an tsrutháin
,brookwood heights,arda choill an tsrutháin
,brookwood meadow,cluain choill an tsrutháin
,brunswick,brunswick
,burnside,taobh an tsrutháin
,buttercup crescent,corrán na bhfearbán
,castle elms,caisleán na leamhán
,castlecourt,cúirt an chaisleáin
,castleview,radharc an chaisleáin
,charlemont,charlemont
,charlemont mall,meal charlemont
,charleville mall,meal charleville
,cill eanna,cill éanna
,claremont lawns,plásóga claremont
,clonshaugh heights,arda chluain seach
,clonshaugh meadow,móinéar chluain seach
,colbert’s fort,dún cholbaird
,college manor,mainéar an choláiste
,collinswood,coill uí choileáin
,convent lawns,plásóga an chlochair
,cornmarket,margadh an arbhair
,cow parlour,parlús na mbó
,crannagh,an chrannach
,cremore heights,arda chríoch mhór
,crinan strand,trá chríonáin
,cullenswood,fiodh cuillinn
,cusacks corner,coirnéal chíosóig
,dalymount,cnocán uí dhálaigh
,dolphin’s barn,an carnán
,donnybrook manor,mainéar dhomhnach broc
,elm mount heights,arda chnocán an leamháin
,elmfield vale,gleann ghort an leamháin
,fairview,fionnradharc
,fairview passage,pasáiste fhionnradhairc
,fairview strand,trá fhionnradhairc
,ferrymans crossing,bealach an fharantóra
,foxfield heights,arda ghort an tsionnaigh
,garrynure,garraí an iúir
,glasnevin oaks,daracha ghlas naíon
,glasnevin woods,coillte ghlas naíon
,glenaulin,gleann álainn
,grand canal harbour,calafort na canálach móire
,grattan lodge,lóiste grattan
,greenlawns,na plásóga glasa
,greenmount lawns,plásóga an chnocáin
,griffith lawns,plásóga uí ghríofa
,grosvenor lodge,lóiste grosvenor
,haymarket,margadh an fhéir
,hazeldene,fothair an choill
,hollybrook,sruthán an chuilinn
,innismore,inis mór
,jamestown centre,lárionad bhaile shéamais
,janeville,janeville
,lansdowne valley,gleann lansdún
,laurelton,baile an labhrais
,laurence brook,sruthán san labhrás
,lyndon gate,geata lyndon
,mariners port,port an mhairnéalaigh
,marino mart,marglann marino
,maryfield woods,coillte ghort mhuire
,mary’s abbey,mainistir mhuire
,meadow bank,bruach na cluana
,merchants arch,áirse na gceannaithe
,merrion strand,trá mhuirfean
,merry bush,merry bush
,middle third,an trian meánach
,milltown path,cosán bhaile an mhuilinn
,molyneux yard,clós molyneux
,mount brown,cnocán an bhrúnaigh
,mount prospect lawns,plásóga chnocán an
,mount saint annes,cnocán san anna
,mount sandford,cnocán sandford
,mullinahack,muileann an chaca
,newbury heights,arda newbury
,newbury lawns,plásóga newbury
,newmarket,an margadh nua
,newtown and coolock,an baile nua agus an
,north lotts,na lotaí thuaidh
,ocean pier,cé an aigéin
,old kilmainham,sean-chill mhaighneann
,old mountpleasant,seanchnocán aoibhinn
,orchard lawns,plásóga an úlloird
,orwell bank,bruach orwell
,orwell woods,coillte orwell
,phibsborough,baile phib
,phoenix manor,mainéar an fhionnuisce
,phoenix park,pairc an fhionnuisce
,pimlico,pimlico
,pine hurst,rosán na giúise
,portobello harbour,cuan portobello
,priory east,an phrióireacht thoir
,priory north,an phrióireacht thuaidh
,priory west,an phrióireacht thiar
,ranelagh,raghnallach
,rinn na mara,rinn na mara
,rothe abbey,mainistir rothe
,royal canal bank,bruach na canálach ríoga
,royston,royston
,saint david’s,eastát san dáibhí
,saint john’s,arasáin eoin
,saint mobhi,boithirin bóithrín mobhí
,seabury,seabury
,seacourt,cúirt na mara
,seven oaks,na seacht ndair
,shrewsbury,shrewsbury
,smithfield,margadh na feirme
,south city markets,margaí na cathrach theas
,spitalfields,bánta an spidéil
,springmount,cnocán an tobair
,stoneybatter,bóthar na gcloch
,stratford haven,cuan stratford
,summer arch,áirse chnoc an tsamhraidh
,summerhill,cnoc an tsamhraidh
,summerville,bailtín summerville
,swiftsgrove,garrán swift
,temple bar,barra an teampaill
,tenterfields,goirt na gcrann triomaithe
,westcourt an chúirt thiar
,western parkway,bealach na páirce
,westpark ,an pháirc thiar
,woodlands,fearann na coille
,woodleigh,bán na coille
,woodpark,páirc na coille
,woodside,cois coille
,clontarf,cluain tarbh
,rathmines,rath maonais
,dun laoighaire|Dún Laoghaire,rath maonais
,rialto,rialto
,Adamstown
,Arbour Hill
,Artane
,Ashtown
,Ayrfield
,Balbriggan
,Baldonnell
,Baldoyle
,Balgriffin
,Ballinteer
,Ballsbridge
,Ballybough
,Ballycullen
,Ballyfermot
,Ballymun
,Balrothery
,Beaumont
,Blackrock
,Blanchardstown
,Bluebell
,Booterstown
,Cabinteely
,Carpenterstown
,Carrickmines
,Castleknock
,cabra
,Chapelizod
,Cherry Orchard
,Christchurch
,Churchtown
,Citywest
,Cloghran
,Clondalkin
,Clonee
,Clonshaugh
,Clonsilla
,Clonskeagh
,Clontarf
,Coolmine
,Coolock
,Cornelscourt
,Crumlin
,Dalkey
,Dartry
,Deansgrange
,Donabate
,Donaghmede
,Donnybrook
,Donnycarney
,Drimnagh
,Drumcondra
,Dun Laoghaire
,Dundrum
,East Wall
,Fairview
,Finglas
,Firhouse
,Foxrock
,Glasnevin
,Glenageary
,Goatstown
,Grand Canal Dock
,Hanover Quay
,Harold's Cross
.harold's cross road
,Hollystown
,Howth
,IFSC
,Inchicore
,Irishtown
,Islandbridge
,Jobstown
,Kilbarrack
,Killester
,Killiney
,Kilmacud
,Kilmainham
,Kimmage
,Kingswood
,Kinsealy
,Knocklyon
,Leopardstown
,Loughlinstown
,Lucan
,Lusk
,Malahide
,Marino
,Milltown
,Monkstown
,Mount Merrion
,Mulhuddart
,Naul
,Navan Road
,Newcastle
,North Circular Road
,North Strand
,North Wall
,Oldtown
,Palmerstown
,Park West
,Phibsborough
,Portmarnock
,Portobello
,Raheny
,Ranelagh
,Rathcoole
,Rathfarnham
,Rathgar
,Rathmichael
,Rathmines
,Rialto
,Ringsend
,Rush
,Saggart
,Sallynoggin
,Sandycove
,Sandyford
,Sandymount
,Santry
,Shankill
,Skerries
,Smithfield
,South Circular Road
,Stepaside
,Stillorgan
,Stoneybatter
,Sutton
,Swords
,Tallaght
,Temple Bar
,Templeogue
,Terenure
,The Ward
,Tyrrelstown
,Walkinstown
,Whitehall
,bull island
,poddle river
,dodder river
,river dodder
,liffey river
,river liffey
,tolka river
,ceannt fort
,o'connell st
,o'connell street
,camac river
,royal canal
,grand canal
,river poddle
,poddle river
,river tolka
,tolka river
,kingsbridge

